epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1627.46,0.72288,1.39464,1.53548,0.22726,0.5704,0.1617,0.12305,0.69738,2.70922,1.42879,4.4304e-05,4.4304e-05,4.4304e-05
42,1665.83,0.70756,1.34551,1.50865,0.19036,0.5977,0.16399,0.12287,0.70565,2.74719,1.4249,4.00866e-05,4.00866e-05,4.00866e-05
43,1704.16,0.69247,1.32851,1.48934,0.18933,0.5881,0.16671,0.12789,0.66838,2.71281,1.40462,3.58692e-05,3.58692e-05,3.58692e-05
44,1742.42,0.68941,1.31052,1.47465,0.17062,0.5898,0.16613,0.12815,0.66151,2.71317,1.39604,3.16518e-05,3.16518e-05,3.16518e-05
45,1780.72,0.68406,1.30216,1.47372,0.17014,0.5857,0.16798,0.13001,0.65645,2.6711,1.39024,2.74344e-05,2.74344e-05,2.74344e-05
46,1819.02,0.6787,1.29671,1.46558,0.19839,0.59339,0.1684,0.12957,0.66338,2.68303,1.39159,2.3217e-05,2.3217e-05,2.3217e-05
47,1857.25,0.67665,1.28792,1.46375,0.19356,0.60432,0.17041,0.1307,0.65931,2.64508,1.3842,1.89996e-05,1.89996e-05,1.89996e-05
48,1895.69,0.67617,1.28445,1.46154,0.20609,0.59619,0.17175,0.13154,0.66653,2.65234,1.38749,1.47822e-05,1.47822e-05,1.47822e-05
49,1933.96,0.67901,1.28074,1.45639,0.22677,0.60958,0.17168,0.1323,0.66415,2.70484,1.38834,1.05648e-05,1.05648e-05,1.05648e-05
50,1972.21,0.67194,1.27553,1.45425,0.23074,0.60404,0.17238,0.13266,0.65991,2.70013,1.38408,6.3474e-06,6.3474e-06,6.3474e-06
